feature,group,source,window,dtype,description,missing_count_train,missing_ratio_train,constant_in_train,in_behavior_core_linear,in_behavior_core,in_behavior_plus_context,in_demographic_experiment
customer_spend_total,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Gözlem penceresindeki tahmini toplam müşteri ödemesi,0,0.0,False,True,True,True,True
retailer_revenue_total,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Gözlem penceresindeki toplam perakendeci geliri,0,0.0,False,False,False,False,False
unique_stores,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
total_retail_discount,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
total_coupon_discount,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
total_coupon_match_discount,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
total_discount_amount,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
discounted_line_rate,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_line_rate,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
coupon_accounting_line_rate,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,float64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
frequency_baskets,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,182 günlük gözlem penceresindeki geçerli sepet sayısı,0,0.0,False,True,True,True,True
active_days,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Alışveriş yapılan benzersiz gün sayısı,0,0.0,False,False,True,True,True
active_weeks,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Alışveriş yapılan göreli hafta sayısı,0,0.0,False,True,True,True,True
unique_products,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,True,True,True,True
recency_days,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot ile son geçerli alışveriş günü arasındaki gün sayısı,0,0.0,False,True,True,True,True
purchase_span_days,rfm_activity_discount,transaction_data + valid basket events,182-day observation window,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
panel_tenure_days,rfm_activity_discount,transaction_data + valid basket events,all history up to snapshot,int64,Snapshot gününe kadar gözlenen hane davranışından türetilen aday feature,0,0.0,False,False,False,False,False
