feature_1,feature_2,spearman_correlation,absolute_correlation
active_weeks,active_week_ratio,1.0,1.0
active_days,gap_observation_count,1.0,1.0
unique_departments_prev_8w,departments_prev_8w,1.0,1.0
baskets_last_12w,weekly_basket_mean_12w,1.0,1.0
unique_departments_last_8w,departments_last_8w,1.0,1.0
customer_spend_last_12w,weekly_spend_mean_12w,0.9999999850946323,0.9999999850946323
coupon_redemption_events_obs,unique_coupons_redeemed_obs,0.9999838942747663,0.9999838942747663
customer_spend_total,retailer_revenue_total,0.9999543200007565,0.9999543200007565
bc_unique_coupon_redemptions_completed,bc_campaigns_with_redemption_completed,0.9999427309224637,0.9999427309224637
bc_unique_coupon_redemptions_completed,bc_coupon_redemption_rate,0.9991188980609771,0.9991188980609771
total_retail_discount,total_discount_amount,0.9990142819221205,0.9990142819221205
campaigns_with_redemption_obs,has_redeemed_coupon,0.9989896033364994,0.9989896033364994
coupon_redemption_events_obs,campaigns_with_redemption_obs,0.9989250223422198,0.9989250223422198
unique_coupons_redeemed_obs,campaigns_with_redemption_obs,0.9988885592776497,0.9988885592776497
bc_campaigns_with_redemption_completed,bc_coupon_redemption_rate,0.9986465920354793,0.9986465920354793
unique_coupons_redeemed_obs,has_redeemed_coupon,0.998329431822121,0.998329431822121
coupon_redemption_events_obs,has_redeemed_coupon,0.9983248758175712,0.9983248758175712
completed_campaigns_with_redemption,redemption_campaign_share,0.9942181801523713,0.9942181801523713
frequency_baskets,active_days,0.9935634464325979,0.9935634464325979
frequency_baskets,gap_observation_count,0.9935634464325979,0.9935634464325979
unique_commodities,unique_subcommodities,0.9927974494724751,0.9927974494724751
active_days_last_12w,weekly_basket_mean_12w,0.9912898085932993,0.9912898085932993
baskets_last_12w,active_days_last_12w,0.9912898085932993,0.9912898085932993
baskets_prev_8w,active_days_prev_8w,0.990233965657562,0.990233965657562
unique_products,unique_subcommodities,0.9900218551018649,0.9900218551018649
baskets_last_8w,active_days_last_8w,0.9899694315401186,0.9899694315401186
baskets_last_4w,active_days_last_4w,0.9872442656456688,0.9872442656456688
bc_coupon_opportunities_completed,has_bc_coupon_opportunity,0.9839271045442767,0.9839271045442767
fuel_revenue_share,fuel_basket_rate,0.9837147852012696,0.9837147852012696
active_campaigns_at_snapshot,has_active_campaign,0.9833008087085262,0.9833008087085262
unique_products,unique_commodities,0.9782846762077622,0.9782846762077622
active_weeks_last_12w,weekly_basket_cv_12w,-0.9767057896692949,0.9767057896692949
department_diversity_change_8w_ratio,department_diversity_change_8w,0.9745471886879251,0.9745471886879251
active_week_ratio,gap_observation_count,0.9729733394403828,0.9729733394403828
active_days,active_weeks,0.9729733394403828,0.9729733394403828
active_weeks,gap_observation_count,0.9729733394403828,0.9729733394403828
active_days,active_week_ratio,0.9729733394403828,0.9729733394403828
fuel_purchase_days,fuel_basket_rate,0.9713018797087557,0.9713018797087557
completed_campaigns_received_TypeB,bc_coupon_opportunities_completed,0.9674680473303424,0.9674680473303424
std_purchase_gap,max_purchase_gap,0.9674463072682667,0.9674463072682667
active_days_last_8w,active_days_last_12w,0.9673174034145667,0.9673174034145667
baskets_last_8w,weekly_basket_mean_12w,0.9669128119915741,0.9669128119915741
baskets_last_8w,baskets_last_12w,0.9669128119915741,0.9669128119915741
fuel_revenue_share,fuel_purchase_days,0.9655242691694639,0.9655242691694639
customer_spend_last_8w,weekly_spend_mean_12w,0.9636221446335111,0.9636221446335111
customer_spend_last_8w,customer_spend_last_12w,0.9636218063156681,0.9636218063156681
active_days_last_12w,active_weeks_last_12w,0.9626191362448242,0.9626191362448242
frequency_baskets,active_week_ratio,0.9622915960667703,0.9622915960667703
frequency_baskets,active_weeks,0.9622915960667703,0.9622915960667703
customer_spend_last_4w,unique_products_last_4w,0.9607420321152459,0.9607420321152459
baskets_last_8w,active_days_last_12w,0.9592629877629367,0.9592629877629367
unique_products_last_8w,unique_products_last_12w,0.9591747854838271,0.9591747854838271
active_days_last_8w,weekly_basket_mean_12w,0.958890155349865,0.958890155349865
active_days_last_8w,baskets_last_12w,0.958890155349865,0.958890155349865
customer_spend_prev_8w,unique_products_prev_8w,0.9587577823675395,0.9587577823675395
active_weeks_last_8w,active_weeks_last_12w,0.9582042357478446,0.9582042357478446
active_days_prev_8w,active_weeks_prev_8w,0.9570424721137719,0.9570424721137719
completed_campaigns_received_TypeB,has_bc_coupon_opportunity,0.9566679736414455,0.9566679736414455
fuel_purchase_days,has_fuel_purchase,0.9562999513008275,0.9562999513008275
customer_spend_last_8w,unique_products_last_8w,0.9559964303340831,0.9559964303340831
has_fuel_purchase,fuel_basket_rate,0.9554769214498243,0.9554769214498243
fuel_revenue_share,has_fuel_purchase,0.9554744947422692,0.9554744947422692
unique_products_last_12w,weekly_spend_mean_12w,0.9549954533511683,0.9549954533511683
