family,feature_set,candidate_id,parameters,fold,fit_seconds,average_precision,roc_auc,brier_score,positive_rate,top_k_rate,top_k_count,positives_captured_at_top_k,recall_at_top_k,precision_at_top_k,lift_at_top_k
logistic,behavior_core_linear,0,"{""model__C"": 0.05, ""model__class_weight"": null}",431_to_487,0.01890230001299642,0.3882830323383791,0.8815365318281593,0.04988818805524291,0.06590509666080843,0.1,228,81,0.54,0.35526315789473684,5.390526315789474
logistic,behavior_core_linear,0,"{""model__C"": 0.05, ""model__class_weight"": null}",431_487_to_543,0.03596420001122169,0.306284711306009,0.8851401448220906,0.0481567181042075,0.05939287285525737,0.1,228,64,0.4740740740740741,0.2807017543859649,4.726185834957764
logistic,behavior_core_linear,1,"{""model__C"": 0.05, ""model__class_weight"": ""balanced""}",431_to_487,0.016079299995908514,0.36942118086220127,0.8793853872687363,0.15618745490764216,0.06590509666080843,0.1,228,80,0.5333333333333333,0.3508771929824561,5.3239766081871345
logistic,behavior_core_linear,1,"{""model__C"": 0.05, ""model__class_weight"": ""balanced""}",431_487_to_543,0.0324415999930352,0.3148737394350073,0.8874233447666563,0.15223795371238708,0.05939287285525737,0.1,228,63,0.4666666666666667,0.27631578947368424,4.65233918128655
logistic,behavior_core_linear,2,"{""model__C"": 0.2, ""model__class_weight"": null}",431_to_487,0.02052759999060072,0.3901701828096171,0.88126371903418,0.049127897248662435,0.06590509666080843,0.1,228,82,0.5466666666666666,0.35964912280701755,5.457076023391814
logistic,behavior_core_linear,2,"{""model__C"": 0.2, ""model__class_weight"": null}",431_487_to_543,0.04744660000142176,0.3100467198923545,0.8843051657831826,0.04789140493069731,0.05939287285525737,0.1,228,61,0.45185185185185184,0.2675438596491228,4.50464587394412
logistic,behavior_core_linear,3,"{""model__C"": 0.2, ""model__class_weight"": ""balanced""}",431_to_487,0.02423259998613503,0.3601839614280112,0.8756161806208843,0.15328251804587076,0.06590509666080843,0.1,228,79,0.5266666666666666,0.34649122807017546,5.257426900584796
logistic,behavior_core_linear,3,"{""model__C"": 0.2, ""model__class_weight"": ""balanced""}",431_487_to_543,0.04703440000594128,0.3194316282244987,0.8871946783078681,0.15042063126501903,0.05939287285525737,0.1,228,61,0.45185185185185184,0.2675438596491228,4.50464587394412
logistic,behavior_core_linear,4,"{""model__C"": 1.0, ""model__class_weight"": null}",431_to_487,0.020864399994025007,0.3811478327655624,0.8788178112260897,0.04917935088541706,0.06590509666080843,0.1,228,80,0.5333333333333333,0.3508771929824561,5.3239766081871345
logistic,behavior_core_linear,4,"{""model__C"": 1.0, ""model__class_weight"": null}",431_487_to_543,0.053727300008176826,0.3129022960840897,0.8825070159027127,0.0479121322208697,0.05939287285525737,0.1,228,62,0.45925925925925926,0.2719298245614035,4.578492527615334
