reference_cutoff,prediction_days,active_lookback,lookback_days,eligible_households,inactive_households,active_households,inactive_rate
620,28,28 gün,28.0,2027,207,1820,0.10212136161815491
620,28,56 gün,56.0,2210,288,1922,0.13031674208144797
620,28,84 gün,84.0,2277,324,1953,0.1422924901185771
620,28,112 gün,112.0,2313,342,1971,0.14785992217898833
620,28,Filtre yok,,2344,360,1984,0.15358361774744028
620,56,28 gün,28.0,2027,89,1938,0.043907252096694625
620,56,56 gün,56.0,2210,138,2072,0.06244343891402715
620,56,84 gün,84.0,2277,161,2116,0.0707070707070707
620,56,112 gün,112.0,2313,173,2140,0.07479463899697363
620,56,Filtre yok,,2344,184,2160,0.07849829351535836
620,91,28 gün,28.0,2027,43,1984,0.021213616181549086
620,91,56 gün,56.0,2210,72,2138,0.03257918552036199
620,91,84 gün,84.0,2277,90,2187,0.039525691699604744
620,91,112 gün,112.0,2313,97,2216,0.041936878512753996
620,91,Filtre yok,,2344,104,2240,0.04436860068259386
